,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,unemployment_rate,employment_level,cpi_all_items,interest_rate_short_term,interest_rate_long_term,industrial_production_index,trade_balance,money_supply_broad,population_total,population_working_age,country
1995-09-30,11450.31,7683.125,4998.662,1303.248,1455.659,831.399,905.843,5.666666666666667,124933.66666666667,152.86666666666667,5.797173913043479,6.323333333333333,72.15333333333334,-6772.0,3586.1666666666665,,167330633.33333334,usa
1995-12-31,11528.067,7772.586,5055.655,1335.135,1451.575,839.421,909.201,5.566666666666666,125221.33333333333,153.70000000000002,5.719456521739131,5.8933333333333335,72.73813333333334,-6299.666666666667,3620.933333333333,,167777033.33333334,usa
1996-03-31,11614.418,7868.468,5130.615,1355.353,1471.295,847.94,936.735,5.533333333333334,125542.0,155.06666666666666,5.370989010989011,5.91,73.23533333333334,-7846.666666666667,3665.5333333333333,269394000.0,168101600.0,usa
1996-06-30,11808.14,8032.84,5220.499,1418.388,1487.662,859.042,952.751,5.5,126280.0,156.4,5.243956043956044,6.72,74.81196666666666,-8487.666666666666,3709.933333333333,,168637700.0,usa
1996-09-30,11914.063,8131.408,5274.505,1474.35,1496.733,859.577,973.757,5.266666666666667,127218.33333333333,157.29999999999998,5.306195652173913,6.78,75.78656666666667,-10228.0,3744.8333333333335,,169028966.66666666,usa
1996-12-31,12037.775,8259.771,5352.763,1480.128,1515.702,903.798,992.62,5.333333333333333,127840.33333333333,158.66666666666666,5.280869565217392,6.343333333333334,76.83006666666667,-8126.0,3795.5,,169611533.33333334,usa
1997-03-31,12115.472,8362.655,5433.105,1522.404,1515.985,918.374,1027.213,5.233333333333333,128495.66666666667,159.63333333333333,5.278444444444444,6.5633333333333335,78.28623333333333,-9809.333333333334,3847.366666666667,272657000.0,170469133.33333334,usa
1997-06-30,12317.221,8518.825,5471.267,1590.218,1542.541,954.45,1039.651,5.0,129339.66666666667,160.0,5.522197802197802,6.696666666666666,79.40383333333334,-7878.0,3890.7333333333336,,170907333.33333334,usa
1997-09-30,12471.01,8662.823,5579.179,1625.251,1555.224,974.057,1070.888,4.866666666666667,129950.33333333333,160.79999999999998,5.534673913043478,6.243333333333333,81.2606,-8348.333333333334,3951.4666666666667,,171348233.33333334,usa
1997-12-31,12577.495,8765.907,5663.61,1644.529,1574.782,968.33,1085.344,4.666666666666667,130503.66666666667,161.66666666666666,5.507391304347826,5.906666666666666,83.32553333333334,-10054.666666666666,4013.3333333333335,,171830433.33333334,usa
1998-03-31,12703.742,8866.48,5721.342,1712.324,1568.029,963.021,1098.236,4.633333333333333,130782.33333333333,162.0,5.519333333333334,5.586666666666667,84.26833333333333,-11740.0,4086.4666666666667,275854000.0,172266233.33333334,usa
1998-06-30,12821.339,8969.699,5832.566,1695.773,1603.691,947.295,1109.626,4.3999999999999995,131259.33333333334,162.53333333333333,5.497472527472527,5.596666666666667,84.83383333333333,-13796.333333333334,4162.900000000001,,172713600.0,usa
1998-09-30,12982.752,9121.097,5926.846,1741.623,1627.262,935.263,1109.897,4.533333333333333,131568.33333333334,163.36666666666667,5.531630434782609,5.203333333333333,85.47613333333334,-14932.333333333334,4233.400000000001,,173267666.66666666,usa
1998-12-31,13191.67,9293.991,6028.238,1796.964,1647.452,966.337,1145.0,4.433333333333334,132293.66666666666,164.13333333333333,4.86054347826087,4.670000000000001,86.65466666666667,-14911.0,4343.366666666667,,173717800.0,usa
1999-03-31,13315.597,9411.682,6102.04,1853.063,1669.139,960.764,1173.324,4.3,132943.33333333334,164.73333333333332,4.734555555555556,4.983333333333333,87.61966666666666,-17354.333333333332,4420.466666666667,279040000.0,174521533.33333334,usa
1999-06-30,13426.748,9526.21,6230.641,1848.341,1694.757,974.597,1222.126,4.266666666666667,133214.66666666666,165.96666666666667,4.747692307692308,5.54,88.44893333333334,-20294.666666666668,4485.166666666667,,175015666.66666666,usa
1999-09-30,13604.771,9686.626,6335.31,1893.735,1733.984,1005.309,1281.712,4.233333333333333,133570.66666666666,167.20000000000002,5.09554347826087,5.883333333333333,89.24696666666667,-22808.333333333332,4552.3,,175575733.33333334,usa
1999-12-31,13827.98,9900.169,6467.039,1953.097,1781.74,1030.971,1332.679,4.066666666666666,134275.0,168.43333333333334,5.304021739130435,6.140000000000001,90.83403333333332,-24812.333333333332,4614.599999999999,,176056633.33333334,usa
2000-03-31,13878.147,10002.179,6618.217,1950.65,1789.895,1052.904,1409.487,4.033333333333333,136619.33333333334,170.1,5.677692307692308,6.4799999999999995,91.7389,-29160.666666666668,4686.733333333334,282162411.0,178287633.33333334,usa
2000-06-30,14130.908,10247.72,6711.911,2075.786,1822.524,1093.36,1455.86,3.9333333333333336,136946.66666666666,171.4333333333333,6.271978021978022,6.176666666666667,92.86746666666666,-29389.333333333332,4765.7,,178791100.0,usa
2000-09-30,14145.312,10318.165,6819.984,2059.969,1832.078,1125.002,1518.869,4.0,136695.33333333334,173.0,6.51945652173913,5.8933333333333335,92.80366666666667,-31505.333333333332,4822.0,,179475066.66666666,usa
2000-12-31,14229.765,10435.744,6918.606,2067.227,1861.253,1113.177,1524.52,3.9,137341.33333333334,174.23333333333335,6.4748913043478264,5.566666666666666,92.5487,-33173.666666666664,4893.866666666667,,179930500.0,usa
