,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country
2003-09-30,185.1,91.3819,995.969970703125,290107933.0,187556300.0,6.133333333333333,1.0168478260869565,4.233333333333333,4.233333333333333,1.68,3.14,0.93,2.549375,6.806666666666668,5.696666666666666,0.2015873015873016,89.3,76.08186666666667,14988.782,11566.669,7820.927,2044.304,2220.432,1037.31,1556.304,137609.0,1961.0,1939.0,-41842.0,6079.7,usa
2003-12-31,185.5,92.1732,1111.9200439453125,290107933.0,188028800.0,5.833333333333333,0.9967391304347828,4.286666666666666,4.286666666666666,1.8633333333333333,3.25,0.9166666666666666,2.428870967741936,6.663333333333334,5.656666666666666,0.2498360655737705,91.96666666666664,76.85386666666666,15162.76,11772.234,7913.453,2131.311,2251.164,1091.682,1615.376,138411.0,1987.0,2057.0,-44080.0,6073.8,usa
2004-03-31,187.1,92.5368,1126.2099609375,292805298.0,188105300.0,5.7,1.001868131868132,4.0200000000000005,4.0200000000000005,1.6933333333333334,2.9933333333333336,0.9166666666666666,2.323387096774194,6.273333333333333,5.456666666666667,0.205,98.0,77.43603333333333,15248.68,11923.447,8048.777,2154.052,2286.594,1133.669,1699.644,138453.0,2066.0,1998.0,-46754.0,6157.9,usa
2004-06-30,188.9,92.8651,1140.8399658203125,292805298.0,188689100.0,5.599999999999999,1.0113186813186814,4.6000000000000005,4.6000000000000005,2.453333333333333,3.723333333333333,1.0766666666666669,2.14241935483871,6.663333333333334,5.926666666666667,0.223,93.33333333333331,77.9207,15366.85,12112.815,8147.108,2262.607,2320.682,1170.152,1787.734,139174.0,2020.0,1828.0,-54169.0,6277.9,usa
2004-09-30,189.8,93.7353,1114.5799560546875,292805298.0,189275100.0,5.433333333333334,1.4307608695652174,4.303333333333334,4.303333333333334,2.56,3.5066666666666664,1.4866666666666666,1.74484375,6.45,5.6433333333333335,0.2685714285714285,95.6,78.37783333333334,15512.619,12305.307,8283.335,2318.272,2356.371,1180.185,1832.856,139487.0,2041.0,1905.0,-51686.0,6352.2,usa
2004-12-31,191.7,95.5415,1211.9200439453125,292805298.0,189846200.0,5.433333333333334,1.9498913043478256,4.173333333333333,4.173333333333333,2.813333333333333,3.4933333333333336,2.0066666666666664,1.3533870967741934,6.186666666666667,5.486666666666667,0.2901666666666667,93.86666666666667,79.43769999999999,15670.88,12527.214,8448.621,2390.082,2388.847,1221.444,1921.78,140125.0,2082.0,2042.0,-54918.0,6424.5,usa
2005-03-31,193.1,96.4345,1180.5899658203125,295516599.0,190426600.0,5.3,2.4690000000000003,4.296666666666667,4.296666666666667,3.4433333333333334,3.883333333333333,2.536666666666666,0.848688524590164,5.966666666666666,5.32,0.298135593220339,94.06666666666666,80.38383333333333,15844.727,12767.286,8551.735,2486.068,2426.138,1258.408,1955.063,140654.0,2062.0,1864.0,-53134.0,6448.3,usa
2005-06-30,193.7,97.1483,1191.3299560546875,295516599.0,190897900.0,5.1000000000000005,2.941758241758241,4.16,4.16,3.643333333333333,3.8733333333333335,2.8633333333333333,0.51265625,5.973333333333334,5.146666666666667,0.4201587301587301,90.2,80.57293333333334,15922.782,12922.656,8701.145,2476.474,2452.246,1294.853,2002.063,141714.0,2178.0,2068.0,-58152.0,6511.7,usa
2005-09-30,198.8,95.2764,1228.81005859375,295516599.0,191471700.0,4.966666666666667,3.46,4.213333333333334,4.213333333333334,3.953333333333333,4.036666666666666,3.36,0.2571875,5.98,5.093333333333333,0.4168253968253968,87.5,79.90626666666667,16047.587,13142.642,8868.089,2531.076,2494.438,1302.315,2053.275,142401.0,2263.0,2151.0,-64882.0,6610.1,usa
2005-12-31,198.1,97.9723,1248.2900390625,295516599.0,192184000.0,4.966666666666667,3.978260869565217,4.489999999999999,4.489999999999999,4.363333333333333,4.39,3.826666666666666,0.1236065573770491,6.336666666666666,5.38,0.5121666666666667,82.43333333333334,80.283,16136.734,13324.204,8955.295,2645.263,2528.432,1350.743,2155.529,142752.0,2120.0,1994.0,-64568.0,6687.8,usa
